Date,Name,Year,Letterboxd URI
2025-12-02,"Alleen Ik (Only me, me alone)",2022,https://boxd.it/CZPE
2025-12-03,Hereditary,2018,https://boxd.it/hNVe
2025-12-10,The Brutalist,2024,https://boxd.it/k4BO
2025-12-12,El Angel,2018,https://boxd.it/ilA0
2025-12-30,Die My Love,2025,https://boxd.it/D5cI
2025-12-30,Legally Blonde,2001,https://boxd.it/1ZNa
2026-01-03,Lilies,1996,https://boxd.it/KdY
2026-01-03,Dune,1984,https://boxd.it/29tY
2026-01-05,The Color of Pomegranates,1969,https://boxd.it/1u94
2026-01-06,North Sea Texas,2011,https://boxd.it/3s8W
2026-01-07,Billy Elliot,2000,https://boxd.it/2bdy
2026-01-21,The Conspirators,1972,https://boxd.it/2AY0
2026-01-22,Notting Hill,1999,https://boxd.it/2aeK
2026-01-23,Tenderness of the Wolves,1973,https://boxd.it/4bzS
2026-01-25,Elizabeth: The Golden Age,2007,https://boxd.it/24d2
2026-01-27,Lord of the Flies,1990,https://boxd.it/1Vfe
2026-01-27,Antonio das Mortes,1969,https://boxd.it/2Bcm
2026-01-30,Another Country,1984,https://boxd.it/1i4w
2026-01-30,Beautiful Boy,2018,https://boxd.it/g76Q
2026-01-31,Pink Flamingos,1972,https://boxd.it/29NO
2026-02-02,Frances Ha,2012,https://boxd.it/41Xg
2026-02-02,Swiss Army Man,2016,https://boxd.it/bDG2
